Artist,Album,Location
"Bitter, Bitter Weeks","Bitter, Bitter Weeks",storage
"Bittersweets, The","Goodnight, San Francisco",station
Bixby,Bixby,station
Biz Markie,I Need a Haircut,station
Biz Markie,Spring Again (Remix),station
Björk,biophilia,station
Björk,Elecktra,station
Björk,Greatest Hits,
Björk,Hyper-Ballad,storge
Björk,Isobel,station
Björk,It's Oh So Quiet (Single),
Björk,joga,station
Björk,It's Oh So Quiet,station
Björk,Oceania,storage
Björk,Volta,station
Björk,Vespertine,trash
Björk,Army of Me,trash
Black,Straight Away,
Black 47,Live in New York City,
Black 47,Green Suede Shoes,
Black 47,Fire of Freedom,
Black 47,Rockin' The Bronx,
Black 47,Maria's Wedding,
Black 47,Black 47 EP,
Black 47,Home of the Brave,
Black and Grey,Manganite,
Black Angel,"Big Big City, Bright Bright Lights",
Black Angel,"Hard Livin', Hard Times",
"Black Angels, The",Directions to See a Ghost,
Black Audio,Cexcells,
Black Black Black,Black Black Black,
Black Blondie,Do You Remember Who You Wanted to Be,
Black Box Recorder,The Facts of Life,
Black Box Recorder,The Worst of Black Box Recorder,
"Black Box Revelation, The",Set Your Head On Fire,
Black Cowboy,Black Cowboy,
"Black Crowes, The",Remedy,
"Black Crowes, The",Conspiracy,
"Black Crowes, The",Jealous Again,
"Black Crowes, The",Lions,
Black Dice,Load Blown,
Black Dice,Repo,
"Black Drumset, The",The Black Drumset,
Black Eyed Peas,Weekends,
Black Gold,Black Gold,
Black Gold,Tragedy & Legacy,
Black Grape,Stupid Stupid Stupid,
Black Grape,It's Great When You're Straight Yeah,
Black Grape,Get Higher,
"Black Halos, The",The Violent Years,
Black Happy,Peghead,
"Black Heart Procession, The",The Spell,
"Black Heart Procession, The",The Black Heart Procession,
"Black Heart Procession, The",Amore del Tropico,
"Black Hollies, The",Somewhere Between Here & Nowhere,
"Black Hollies, The",Softly Towards the Light,
Black Joe Lewis & the Honeybears,Tell 'Em What Your Name Is!,
Black Joe Lewis & the Honeybears,Booty City,
"Black Keys, The",Rubber Factory,
"Black Keys, The",Strange Times,
"Black Keys, The",Magic Potion,
"Black Keys, The",Brothers,
Black Kids,Partie Traumatics,
Black Knight,Tales from the Darkside ,
Black Lips,Good Bad Not Evil,
Black Lips,200 Million Thousand,
Black Marble,A Different Arrangement,
Black Moth Super Rainbow,Dandelion Gun,
"Black Neon, The",Arts And Crafts,
"Black Pacific, The ",The Black Pacific,
Black Prairie,Feast of the Hunter's Moon,
Black Rebel Motorcycle Club,Baby 81,
Black Rebel Motorcycle Club,Take Them On On Your Own,
Black Rebel Motorcycle Club,Beat the Devil's Tattoo,
Black Rebel Motorcycle Club,stop,
Black Rebel Motorcycle Club,Howl Sessions,
Black Rio 2,Original Samba Soutl 1971-1980,
Black Sabbath,Psycho Man ,
Black Sabbath,Dehumanizer,
Black Sand Desert,Choking On Grave Soil,
"Black Shades, The",Told Ya So,
Black Stone Rngs,Descendant,
"Black Tales, The ",The Black Tales,
Black Tambourine,Black Tambourine,
Black Tape for a Blue Girl,As one aflame laid bare by desire,
Black Triage,Teargas & Plateglass,
"Black Watch, The",Seven Rollercoasters,
"Black Watch, The",tatterdemalion,
Blackalicious,Blazing Arrrow,
Blackalicious,Me Craft,
"Blackes, The","Blackes, The",
"Blackeyed Susan, The",All Souls Alive,
Blackfield,We Put Out/Mike,
Blackfield,Blackfield,
"Blackfire Revelation, The",Gold and Guns on 51,
Blackout Beach,Skin of Evil,
"Blackouts, The",Everyday is a sunday evening,
"Blam, The",Caveat Emptor,
"Blam, The","Blam, The",
Blanche Dubois,Young Heart,
Blank-Wave Arcade,The Faint,
"Blasco Ballroom, The",Film,
Blasted Canyons,2nd Place,
Blaudzun,Heavy Flowers,
Blauzor,Pink Pet Eraser,
Blaze,The Boiling Point,
"Bled, The",Pass the Flask,
Bleeder,Best Kissers in the World,
"Blend, The",Last Piece of a Broken Cause,
"Blend, The",After What Came Before,
Blessed Oblivion,Blessed Oblivion,
Bleu,Going for Adds,
Bleu,Redhead (Aware/Sony Music),
Bleu,Redhead (Aware),
